Recipe Name,Ingredients,Cuisine,Meal Type,Calories,Macros,Sides 
Pasta Puttanesca (Vegetarian),"pasta (1 unit) (Pasta), tomato (1 medium) (Vegetables), olive (1 unit) (Spices), caper (1 unit) (Others), garlic (2 cloves) (Spices)",Italian,Dinner,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",None
Halal Chicken Gnocchi Bake,"gnocchi (1 unit) (Pasta), halal chicken (1 unit) (Protein), cream (2 tbsp) (Dairy), cheese (30g) (Dairy)",Italian,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",None
Spinach Cannelloni,"pasta (1 unit) (Pasta), spinach (1 cup) (Vegetables), ricotta (1 unit) (Others), marinara (1 unit) (Sauces), cheese (30g) (Dairy)",Italian,Dinner,490,"Protein: 36.8g, Carbs: 61.2g, Fat: 10.9g",None
Tomato Basil Soup,"tomato (1 medium) (Vegetables), basil (5 leaves) (Herbs), cream (2 tbsp) (Dairy), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments)",Italian,Lunch,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Italian Veggie Wrap,"tortilla (1 unit) (Grains), zucchini (1 whole) (Vegetables), tomato (1 medium) (Vegetables), mozzarella (40g) (Others), pesto (1 unit) (Sauces)",Italian,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Garlic Parmesan Breadsticks,"bread dough (1 unit) (Grains), garlic (2 cloves) (Spices), parmesan (20g) (Herbs), butter (1 tbsp) (Dairy)",Italian,Breakfast,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Eggplant Parmesan Bake,"eggplant (1 unit) (Vegetables), marinara (1 unit) (Sauces), mozzarella (40g) (Others), parmesan (20g) (Herbs)",Italian,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Halal Meat Ravioli,"ravioli (1 unit) (Pasta), halal ground beef (1 unit) (Protein), tomato sauce (1 unit) (Sauces), cheese (30g) (Dairy)",Italian,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",None
Italian Roasted Veggies,"zucchini (1 whole) (Vegetables), bell pepper (1 small) (Vegetables), olive oil (1 unit) (Condiments), italian herb (1 unit) (Herbs)",Italian,Dinner,270,"Protein: 20.2g, Carbs: 33.8g, Fat: 6.0g",None
Matar Pulao,"rice (100g) (Grains), green pea (1 unit) (Vegetables), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",None
Daal Tarka,"lentil (1 unit) (Protein), garlic (2 cloves) (Spices), onion (1 medium) (Vegetables), cumin (1 unit) (Spices), ghee (1 unit) (Condiments)",Pakistani,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",Half plate boiled rice
Anda Curry,"boiled egg (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",1/2 Roti
Bhuna Gosht,"halal mutton (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Dinner,530,"Protein: 39.8g, Carbs: 66.2g, Fat: 11.8g",1/2 Roti
Masoor Dal Soup,"red lentil (1 unit) (Protein), garlic (2 cloves) (Spices), tomato (1 medium) (Vegetables), cumin (1 unit) (Spices)",Pakistani,Dinner,330,"Protein: 24.8g, Carbs: 41.2g, Fat: 7.3g",None
Chicken Ginger,"halal chicken (1 unit) (Protein), ginger (1 tsp) (Spices), garlic (2 cloves) (Spices), tomato (1 medium) (Vegetables), green chili (1 unit) (Spices)",Pakistani,Dinner,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",1/2 Roti
Aloo Anda,"potato (1 medium) (Vegetables), egg (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Breakfast,440,"Protein: 33.0g, Carbs: 55.0g, Fat: 9.8g",1/2 Roti
Chicken Shashlik,"halal chicken (1 unit) (Protein), bell pepper (1 small) (Vegetables), tomato (1 medium) (Vegetables), skewer (1 unit) (Others), sauce (1 unit) (Spices)",Pakistani,Dinner,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Gobi Aloo,"cauliflower (1 unit) (Vegetables), potato (1 unit) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",1/2 Roti
Halal Philly Cheesesteak,"halal beef (1 unit) (Protein), bell pepper (1 small) (Vegetables), onion (1 medium) (Vegetables), cheese (30g) (Dairy), hoagie roll (1 unit) (Others)",American,Lunch,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",None
Veggie Chili,"bean (1 unit) (Legumes), tomato (1 medium) (Vegetables), onion (1 medium) (Vegetables), bell pepper (1 small) (Vegetables), spice (1 tsp) (Others)",American,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Halal Turkey Meatballs,"halal turkey (1 unit) (Protein), bread crumb (1 unit) (Grains), egg (1 large) (Protein), spice (1 tsp) (Others), marinara (1 unit) (Sauces)",American,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Roasted Veggie Bowl,"sweet potato (1 unit) (Vegetables), broccoli (1 unit) (Vegetables), chickpea (50g) (Vegetables), quinoa (1/2 cup) (Grains), olive oil (1 unit) (Condiments)",American,Lunch,380,"Protein: 28.5g, Carbs: 47.5g, Fat: 8.4g",None
Apple Cinnamon Oatmeal,"oat (1 unit) (Others), apple (1 unit) (Fruits), cinnamon (1/4 tsp) (Spices), milk (1 cup) (Dairy), honey (1 tsp) (Sugars)",American,Breakfast,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Halal Chicken Nachos,"tortilla chip (1 unit) (Grains), halal chicken (1 unit) (Protein), cheese (30g) (Dairy), jalapeno (1 unit) (Spices), salsa (1 unit) (Sauces)",American,Lunch,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Lentil Sliders,"lentil (1 unit) (Protein), bread crumb (1 unit) (Grains), onion (1 medium) (Vegetables), burger bun (1 unit) (Others)",American,Dinner,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Halal Chicken Enchiladas,"halal chicken (1 unit) (Protein), tortilla (1 unit) (Grains), cheese (30g) (Dairy), enchilada sauce (1 unit) (Spices)",American,Dinner,510,"Protein: 38.2g, Carbs: 63.8g, Fat: 11.3g",None
Banana Smoothie,"banana (1 medium) (Fruits), milk (1 cup) (Dairy), honey (1 tsp) (Sugars), cinnamon (1/4 tsp) (Spices)",American,Breakfast,220,"Protein: 16.5g, Carbs: 27.5g, Fat: 4.9g",None
Ziti with Tomato Sauce,"ziti pasta (1 unit) (Others), tomato sauce (1 unit) (Sauces), basil (5 leaves) (Herbs), parmesan (20g) (Herbs)",Italian,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Halal Chicken Pesto Panini,"halal chicken (1 unit) (Protein), pesto (1 unit) (Sauces), tomato (1 medium) (Vegetables), cheese (30g) (Dairy), bread (1 unit) (Grains)",Italian,Lunch,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Spinach and Cheese Tortellini,"tortellini (1 unit) (Pasta), spinach (1 cup) (Vegetables), ricotta (1 unit) (Others), tomato sauce (1 unit) (Sauces)",Italian,Dinner,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g",None
Italian Farro Salad,"farro (1 unit) (Others), tomato (1 medium) (Vegetables), mozzarella (40g) (Others), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments)",Italian,Lunch,360,"Protein: 27.0g, Carbs: 45.0g, Fat: 8.0g",None
Halal Chicken Pizza,"pizza dough (1 unit) (Others), halal chicken (1 unit) (Protein), tomato sauce (1 unit) (Sauces), mozzarella (40g) (Others)",Italian,Dinner,540,"Protein: 40.5g, Carbs: 67.5g, Fat: 12.0g",None
Bruschetta with Cheese,"bread (1 unit) (Grains), tomato (1 medium) (Vegetables), cheese (30g) (Dairy), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments)",Italian,Breakfast,300,"Protein: 22.5g, Carbs: 37.5g, Fat: 6.7g",None
Vegetable Polenta Bake,"polenta (1 unit) (Others), zucchini (1 whole) (Vegetables), bell pepper (1 small) (Vegetables), cheese (30g) (Dairy), tomato sauce (1 unit) (Sauces)",Italian,Dinner,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Italian Lentil Soup,"lentil (1 unit) (Protein), carrot (1 small) (Vegetables), celery (1 unit) (Vegetables), garlic (2 cloves) (Spices), tomato (1 medium) (Vegetables)",Italian,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Herbed Garlic Pasta,"pasta (1 unit) (Pasta), garlic (2 cloves) (Spices), olive oil (1 unit) (Condiments), herb (1 unit) (Others), parmesan (20g) (Herbs)",Italian,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Basil Cream Gnocchi,"gnocchi (1 unit) (Pasta), basil (5 leaves) (Herbs), cream (2 tbsp) (Dairy), garlic (2 cloves) (Spices), parmesan (20g) (Herbs)",Italian,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Chicken White Karahi,"halal chicken (1 unit) (Protein), cream (2 tbsp) (Dairy), green chili (1 unit) (Spices), spice (1 tsp) (Others)",Pakistani,Dinner,520,"Protein: 39.0g, Carbs: 65.0g, Fat: 11.6g",1/2 Roti
Chana Dal Fry,"split chickpea (1 unit) (Vegetables), tomato (1 medium) (Vegetables), garlic (2 cloves) (Spices), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",1/2 Roti
Chicken Malai Boti,"halal chicken (1 unit) (Protein), cream (2 tbsp) (Dairy), cheese (30g) (Dairy), garlic (2 cloves) (Spices), spice (1 tsp) (Others)",Pakistani,Lunch,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",1/2 Roti
Chicken Malai Boti,"halal chicken (1 unit) (Protein), cream (2 tbsp) (Dairy), cheese (30g) (Dairy), garlic (2 cloves) (Spices), spice (1 tsp) (Others)",Pakistani,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",1/2 Roti
Bhindi Aloo,"okra (8 pieces) (Others), potato (1 unit) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others), onion (1 medium) (Vegetables)",Pakistani,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",1/2 Roti
Chicken Tikka Wrap,"halal chicken (1 unit) (Protein), tortilla (1 unit) (Grains), lettuce (2 leaves) (Others), sauce (1 unit) (Spices)",Pakistani,Dinner,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g",None
Chicken Tikka Wrap,"halal chicken (1 unit) (Protein), tortilla (1 unit) (Grains), lettuce (2 leaves) (Others), sauce (1 unit) (Spices)",Pakistani,Lunch,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g",None
Gosht Palak,"halal mutton (1 unit) (Protein), spinach (1 cup) (Vegetables), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",1/2 Roti
Moong Dal,"yellow lentil (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,380,"Protein: 28.5g, Carbs: 47.5g, Fat: 8.4g",1/2 Roti
Chicken Pulao,"halal chicken (1 unit) (Protein), rice (100g) (Grains), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Kachri Raita,"yogurt (2 tbsp) (Dairy), cucumber (1 unit) (Vegetables), cumin (1 unit) (Spices), salt (1/2 tsp) (Spices)",Pakistani,Lunch,150,"Protein: 11.2g, Carbs: 18.8g, Fat: 3.3g",None
Halal BBQ Chicken Salad,"halal chicken (1 unit) (Protein), lettuce (2 leaves) (Others), corn (1 unit) (Vegetables), bbq sauce (1 unit) (Sauces), tomato (1 medium) (Vegetables)",American,Lunch,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",None
Halal BBQ Chicken Salad,"halal chicken (1 unit) (Protein), lettuce (2 leaves) (Others), corn (1 unit) (Vegetables), bbq sauce (1 unit) (Sauces), tomato (1 medium) (Vegetables)",American,Dinner,410,"Protein: 30.8g, Carbs: 51.2g, Fat: 9.1g",None
Avocado Chicken Wrap,"halal chicken (1 unit) (Protein), avocado (1 unit) (Fruits), tortilla (1 unit) (Grains), lettuce (2 leaves) (Others)",American,Lunch,440,"Protein: 33.0g, Carbs: 55.0g, Fat: 9.8g",None
Lentil Veggie Burger,"lentil (1 unit) (Protein), carrot (1 small) (Vegetables), onion (1 medium) (Vegetables), bun (1 unit) (Others), lettuce (2 leaves) (Others)",American,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Halal Chicken Burrito Bowl,"halal chicken (1 unit) (Protein), rice (100g) (Grains), bean (1 unit) (Legumes), salsa (1 unit) (Sauces), guacamole (1 unit) (Others)",American,Lunch,510,"Protein: 38.2g, Carbs: 63.8g, Fat: 11.3g",None
Veggie Omelette,"egg (1 unit) (Protein), onion (1 medium) (Vegetables), bell pepper (1 small) (Vegetables), spinach (1 cup) (Vegetables), cheese (30g) (Dairy)",American,Breakfast,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",Paratha
Peanut Butter Banana Toast,"bread (1 unit) (Grains), peanut butter (1 unit) (Dairy), banana (1 medium) (Fruits), honey (1 tsp) (Sugars)",American,Breakfast,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Corn Chowder,"corn (1 unit) (Vegetables), potato (1 unit) (Vegetables), milk (1 cup) (Dairy), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",American,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Veggie Fried Rice,"rice (100g) (Grains), egg (1 large) (Protein), carrot (1 small) (Vegetables), pea (1 unit) (Vegetables), soy sauce (1 tbsp) (Sauces)",American,Dinner,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g",None
Halal Chicken Sliders,"mini bun (1 unit) (Others), halal chicken (1 unit) (Protein), pickle (1 unit) (Vegetables), lettuce (2 leaves) (Others)",American,Lunch,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Halal Chicken Sliders,"mini bun (1 unit) (Others), halal chicken (1 unit) (Protein), pickle (1 unit) (Vegetables), lettuce (2 leaves) (Others)",American,Dinner,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Oatmeal with Berries,"oat (1 unit) (Others), milk (1 cup) (Dairy), blueberry (5 pcs) (Fruits), honey (1 tsp) (Sugars)",American,Breakfast,310,"Protein: 23.2g, Carbs: 38.8g, Fat: 6.9g",None
Turkey Lettuce Wraps,"halal turkey (1 unit) (Protein), lettuce (2 leaves) (Others), carrot (1 small) (Vegetables), soy sauce (1 tbsp) (Sauces)",American,Lunch,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Chickpea Salad Sandwich,"chickpea (50g) (Vegetables), mayo (1 unit) (Sauces), bread (1 unit) (Grains), onion (1 medium) (Vegetables)",American,Lunch,390,"Protein: 29.2g, Carbs: 48.8g, Fat: 8.7g",None
Tofu Stir Fry,"tofu (100g) (Protein), broccoli (1 unit) (Vegetables), bell pepper (1 small) (Vegetables), soy sauce (1 tbsp) (Sauces)",American,Dinner,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Margherita Pizza,"pizza dough (1 unit) (Others), tomato sauce (1 unit) (Sauces), mozzarella (40g) (Others), basil (5 leaves) (Herbs)",Italian,Dinner,500,"Protein: 37.5g, Carbs: 62.5g, Fat: 11.1g",None
Halal Chicken Lasagna,"lasagna noodle (1 unit) (Others), halal chicken (1 unit) (Protein), cheese (30g) (Dairy), tomato sauce (1 unit) (Sauces)",Italian,Dinner,550,"Protein: 41.2g, Carbs: 68.8g, Fat: 12.2g",None
Vegetable Gnocchi,"gnocchi (1 unit) (Pasta), zucchini (1 whole) (Vegetables), tomato (1 medium) (Vegetables), basil (5 leaves) (Herbs), cheese (30g) (Dairy)",Italian,Dinner,450,"Protein: 33.8g, Carbs: 56.2g, Fat: 10.0g",None
Cheese and Herb Calzone,"dough (1 unit) (Others), mozzarella (40g) (Others), herb (1 unit) (Others), tomato sauce (1 unit) (Sauces)",Italian,Dinner,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Vegetable Frittata,"egg (1 unit) (Protein), onion (1 medium) (Vegetables), bell pepper (1 small) (Vegetables), spinach (1 cup) (Vegetables), cheese (30g) (Dairy)",Italian,Breakfast,370,"Protein: 27.8g, Carbs: 46.2g, Fat: 8.2g",None
Eggplant Parmesan,"eggplant (1 unit) (Vegetables), cheese (30g) (Dairy), tomato sauce (1 unit) (Sauces), breadcrumb (1 unit) (Grains)",Italian,Dinner,460,"Protein: 34.5g, Carbs: 57.5g, Fat: 10.2g",None
Garlic Parmesan Zoodles,"zucchini (1 whole) (Vegetables), garlic (2 cloves) (Spices), parmesan (20g) (Herbs), olive oil (1 unit) (Condiments)",Italian,Dinner,310,"Protein: 23.2g, Carbs: 38.8g, Fat: 6.9g",None
Spinach Alfredo Pasta,"pasta (1 unit) (Pasta), spinach (1 cup) (Vegetables), alfredo sauce (1 unit) (Sauces), cheese (30g) (Dairy)",Italian,Dinner,480,"Protein: 36.0g, Carbs: 60.0g, Fat: 10.7g",None
Tomato Basil Soup,"tomato (1 medium) (Vegetables), basil (5 leaves) (Herbs), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), cream (2 tbsp) (Dairy)",Italian,Lunch,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Halal Chicken Ravioli,"ravioli (1 unit) (Pasta), halal chicken (1 unit) (Protein), cheese (30g) (Dairy), tomato sauce (1 unit) (Sauces)",Italian,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",None
Roasted Veggie Bruschetta,"bread (1 unit) (Grains), zucchini (1 whole) (Vegetables), tomato (1 medium) (Vegetables), basil (5 leaves) (Herbs), olive oil (1 unit) (Condiments)",Italian,Dinner,290,"Protein: 21.8g, Carbs: 36.2g, Fat: 6.4g",None
Halal Sausage Pasta,"pasta (1 unit) (Pasta), halal chicken sausage (1 unit) (Protein), tomato sauce (1 unit) (Sauces)",Italian,Dinner,530,"Protein: 39.8g, Carbs: 66.2g, Fat: 11.8g",None
Khichdi,"rice (100g) (Grains), moong dal (1 unit) (Others), ghee (1 unit) (Condiments), spice (1 tsp) (Others)",Pakistani,Lunch,420,"Protein: 31.5g, Carbs: 52.5g, Fat: 9.3g",None
Aloo Baingan,"potato (1 unit) (Vegetables), eggplant (1 unit) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,360,"Protein: 27.0g, Carbs: 45.0g, Fat: 8.0g",1/2 Roti
Anda Curry,"boiled egg (1 unit) (Protein), tomato (1 medium) (Vegetables), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Dinner,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",1/2 Roti
Mixed Vegetable Curry,"carrot (1 small) (Vegetables), pea (1 unit) (Vegetables), potato (1 unit) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,380,"Protein: 28.5g, Carbs: 47.5g, Fat: 8.4g",1/2 Roti
Daal Makhni,"black lentil (1 unit) (Protein), butter (1 tbsp) (Dairy), cream (2 tbsp) (Dairy), spice (1 tsp) (Others)",Pakistani,Dinner,470,"Protein: 35.2g, Carbs: 58.8g, Fat: 10.4g",1/2 Roti
Paya,"goat trotter (1 unit) (Protein), onion (1 medium) (Vegetables), garlic (2 cloves) (Spices), spice (1 tsp) (Others)",Pakistani,Breakfast,550,"Protein: 41.2g, Carbs: 68.8g, Fat: 12.2g",None
Chicken Qeema,"halal chicken mince (1 unit) (Protein), tomato (1 medium) (Vegetables), onion (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Lunch,430,"Protein: 32.2g, Carbs: 53.8g, Fat: 9.6g",1/2 Roti
Oats and Banana Porridge,"oat (1 unit) (Others), banana (1 medium) (Fruits), milk (1 cup) (Dairy), honey (1 tsp) (Sugars), cinnamon (1/4 tsp) (Spices)",International,Breakfast,320,"Protein: 24.0g, Carbs: 40.0g, Fat: 7.1g",None
Masala Omelette,"egg (1 unit) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), green chili (1 unit) (Spices), spice (1 tsp) (Others), oil (1 tbsp) (Spices)",Pakistani,Breakfast,250,"Protein: 18.8g, Carbs: 31.2g, Fat: 5.6g",Paratha
Greek Yogurt with Berries,"greek yogurt (1 unit) (Protein), mixed berrie (1 unit) (Fruits), honey (1 tsp) (Sugars), nut (1 unit) (Others)",International,Breakfast,280,"Protein: 21.0g, Carbs: 35.0g, Fat: 6.2g",None
Besan Chilla,"gram flour (1 unit) (Grains), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others), coriander (1 unit) (Spices), water (1/2 cup) (Others)",Indian,Breakfast,270,"Protein: 20.2g, Carbs: 33.8g, Fat: 6.0g",None
Peanut Butter Toast,"bread (1 unit) (Grains), peanut butter (1 unit) (Dairy), banana slice (1 unit) (Fruits)",International,Breakfast,310,"Protein: 23.2g, Carbs: 38.8g, Fat: 6.9g",None
Paratha Roll with Egg,"paratha (1 unit) (Grains), egg (1 large) (Protein), onion (1 medium) (Vegetables), tomato (1 medium) (Vegetables), spice (1 tsp) (Others)",Pakistani,Breakfast,400,"Protein: 30.0g, Carbs: 50.0g, Fat: 8.9g",None
Smoothie Bowl,"banana (1 medium) (Fruits), berry (1 unit) (Fruits), yogurt (2 tbsp) (Dairy), oat (1 unit) (Others), chia seed (1 unit) (Grains)",International,Breakfast,350,"Protein: 26.2g, Carbs: 43.8g, Fat: 7.8g",None
Toast with Avocado and Egg,"bread (1 unit) (Grains), avocado (1 unit) (Fruits), egg (1 large) (Protein), salt (1/2 tsp) (Spices), pepper (1 unit) (Spices)",International,Breakfast,330,"Protein: 24.8g, Carbs: 41.2g, Fat: 7.3g",None
Milk with Cornflakes and Fruit,"cornflake (1 unit) (Others), milk (1 cup) (Dairy), apple (1 unit) (Fruits), banana (1 medium) (Fruits)",International,Breakfast,290,"Protein: 21.8g, Carbs: 36.2g, Fat: 6.4g",None
